Monomer,Monomer HOMO,Monomer LUMO,Monomer relative HOMO,Monomer relative LUMO,Monomer Gap,Monomer E_TS,Oligomer E_TS
1002,-8.785467777243,1.33763005490285,0.1758399701931008,-0.3978848722011001,10.123097832145849,3.4638767974192888,-0.7057114886702038
413,-7.99886826960265,3.25347483073315,0.96243947783345,1.5179599036292,11.2523431003358,4.62026297317243,0.9274543443025323
337,-8.2011849174494,0.2614469875604,0.7601228299867007,-1.47406793954355,8.4626319050098,3.43526674718305,-0.992091452004388
206,-8.36850772412185,0.82436891008975,0.5928000233142505,-0.9111460170142,9.1928766342116,3.502443493453029,1.284775476960931
1094,-6.845105543482651,2.87861079028435,2.116202203953449,1.1430958631804,9.723716333767,3.588716373407806,1.3346996608306654
533,-8.69591510904345,2.5769725870051,0.265392638392651,0.8414576599011496,11.27288769604855,4.31078680254268,1.0788906001544092
425,-8.3147652386481,1.97595472540575,0.6465425087880003,0.2404397983017998,10.29071996405385,4.242782013823671,1.3818096433387836
439,-9.83618098817865,1.8651771768672,-0.8748732407425504,0.1296622497632498,11.70135816504585,4.57612529027756,1.551606237044325
521,-8.53351756306505,3.4511111203513,0.4277901843710499,1.71559619324735,11.98462868341635,6.847415245843877,1.2311181630648207
499,-9.4636843382292,1.37289600992765,-0.5023765907930997,-0.3626189171763001,10.83658034815685,4.97153283798616,1.3147757568222005
659,-7.883628053915899,0.14386659275935,1.077679693520201,-1.5916483343446,8.02749464667525,2.429732054613851,2.0287943371222354
987,-8.8717822906216,0.18691500390845,0.0895254568145009,-1.5485999231955,9.058697294530049,3.4781173315568594,1.4295648077386431
473,-7.7181828328119,1.39439300411715,1.2431249146242005,-0.3411219229868001,9.11257583692905,3.6962100520031527,1.6071737900783774
555,-7.83995378091065,3.11203005124325,1.12135396652545,1.3765151241393,10.9519838321539,4.224583583727508,1.4336974007892422
257,-7.420109320974199,3.5249083966069,1.541198426461901,1.7893934695029496,10.9450177175811,4.462055980490732,1.1799207584554097
1063,-7.6391065478566,0.30925739109325,1.3222011995795002,-1.4262575360107,7.94836393894985,2.890326924236433,1.132306004757993
1181,-6.7810227316899,-0.5971266335372001,2.1802850157462004,-2.33264156064115,6.1838960981527,1.211844611170818,-2.102575558645185
117,-8.47142118238095,0.64466492321955,0.4898865650551496,-1.0908500038844,9.1160861056005,3.28072512806466,1.195860643609194
869,-10.3016317294589,-0.19660225698625,-1.3403239820228006,-1.9321171840902,10.105029472472651,3.795354461315583,0.6497950856282841
893,-9.94671363425175,-2.0871948674901497,-0.9854058868156504,-3.8227097945941,7.859518766761601,3.266485954489326,0.984033344546333
943,-8.321976255686351,-1.0002360916679,0.6393314917497488,-2.7357510187718503,7.321740164018451,2.1044784508230805,1.065113203774672
768,-7.1889213935894,-1.0178962805653502,1.7723863538467004,-2.7534112076693003,6.17102511302405,1.0837546352340723,-2.7025376185192727
724,-8.50271427518845,2.7430164585802004,0.4585934722476494,1.0075015314762503,11.245730733768651,4.736306741058797,1.593004549795296
983,-7.37104719372905,-0.2511066612414,1.5902605537070509,-1.9866215883453504,7.119940532487649,1.9254433197893377,1.9413083736144472
775,-7.05419782620685,-1.4613602227252,1.9071099212292504,-3.1968751498291503,5.59283760348165,0.6377423468620691,-1.8794849231198896
725,-11.3494333221942,-2.13062423802995,-2.3881255747580994,-3.8661391651339,9.21880908416425,3.6138994218163134,1.078162423480535
310,-8.811291381655451,0.69375426184975,0.1500163657806492,-1.0417606652542002,9.5050456435052,3.5737884796853905,1.4662721498316387
156,-8.356480291929751,1.80985643106055,0.6048274555063493,0.0743415039566,10.166336722990302,4.399591429766588,1.1304006636200938
416,-7.675705860748851,3.3479255482417,1.2856018866872496,1.61241062113775,11.02363140899055,5.500223654464207,1.2799500820110552
200,-6.616475486292551,-0.55454081593395,2.3448322611435497,-2.2900557430379003,6.061934670358601,1.5384721177906613,-2.0347269632620737
210,-6.587087190438551,1.45311517305505,2.3742205569975496,-0.2823997540489,8.0402023634936,3.057721296845557,0.23497684061294422
639,-8.3836100428246,-1.0103587269065002,0.5776977046115004,-2.7458736540104502,7.3732513159180995,2.159370617311652,-0.46389044044190086
203,-6.473751771705301,-0.69865231115875,2.4875559757308,-2.4341672382627,5.77509946054655,0.5607836518902332,0.012652205594349653
412,-8.53079642456005,1.8809053574261,0.4305113228760504,0.14539043032215,10.41170178198615,3.8686271020687855,1.4721351148327813
40,-8.0307872242663,-0.2473514901045,0.9305205231698004,-1.98286641720845,7.7834357341618,2.3760192295449087,-1.4252678579068743
672,-8.0920672633989,3.4357094764130003,0.869240484037201,1.7001945493090502,11.5277767398119,4.677917911588338,1.139312664308818
100,-8.4857071595322,0.95873872946665,0.4756005879038998,-0.7767761976373,9.44444588899885,3.5682874260837707,0.5570488892844878
1216,-7.4622325450316,-0.2869712667373,1.4990752024045009,-2.02248619384125,7.1752612782943,2.10696366661432,1.1833812302793376
581,-10.5095267112409,-2.20502016475665,-1.5482189638047998,-3.9405350918606,8.30450654648425,3.323199923215725,1.0934723650570959
225,-6.73772941807535,1.96643074063825,2.22357832936075,0.2309158135342999,8.7041601587136,3.1531040042955283,0.06800832619774155
1204,-6.13276590564375,2.41090150404495,2.82854184179235,0.6753865769410001,8.5436674096887,3.2138281148290844,-0.07503076834836975
418,-6.7240420913952,1.01288938571615,2.237265656040901,-0.7226255413878,7.73693147711135,2.477025169715489,0.4020580102223903
1131,-10.9075204289822,-0.9035812519703,-1.9462126815460987,-2.63909617907425,10.0039391770119,4.106519098386343,1.1821395747974748
