,Monomer,Singlet HOMO,Singlet LUMO,Singlet Gap,Triplet Energy,E_TS,Relative HOMO,Relative LUMO
1029,0,-9.298864978981351,-0.20231664784675,9.096548331134601,-33359.20748520465,4.868651761273213,-1.2240769450892017,-1.1699807116098
487,1,-6.71122552903665,1.5868047078057,8.298030236842349,-18850.93611361763,3.8345826661243336,1.3635625048554996,0.6191406440426499
987,2,-7.692740187790149,-0.13532221785365,7.557417969936499,-12892.301729588247,3.259966922978492,0.38204784610200004,-1.1029862816167
1110,3,-6.38147796500075,-0.90981265914675,5.471665305854,-24487.632259073358,1.697825798240956,1.6933100688913996,-1.8774767229098002
857,4,-7.5437306432563505,-0.0634569499366,7.4802736933197504,-12500.718064215274,3.1584690009694896,0.5310573906357989,-1.03112101369965
1033,5,-8.003276513980751,-2.64813035891085,5.355146155069901,-27341.656450019385,1.7142361682235787,0.07151151991139848,-3.6157944226739
19,6,-6.788097691802901,-0.5681465084589501,6.219951183343951,-11492.27066390623,2.1248094371585466,1.2866903420892486,-1.5358105722220001
1083,7,-7.13828100601135,-0.0018231627983500002,7.136457843213,-27574.55352313861,2.818208318316465,0.9365070278807996,-0.9694872265614001
724,8,-7.7275979720392005,-0.42591259880259996,7.301685373236601,-23333.501887277023,3.0829114202169876,0.3471900618529489,-1.39357666256565
957,9,-7.68800540679145,1.08821049953455,8.776215906326,-19308.85576367087,3.8266758539648436,0.38678262710069955,0.12054643577150004
416,10,-6.75313106201365,1.2516692895299,8.00480035154355,-28908.928140181404,3.230496176631277,1.3216569718784994,0.28400522576684994
936,11,-7.063531331278999,1.5386133448821502,8.60214467616115,-34021.31836752943,3.6475672521992237,1.0112567026131503,0.5709492811191001
1211,12,-7.6410113448101,0.49590028115120005,8.1369116259613,-24551.58786117848,3.398079396258254,0.43377668908204914,-0.47176378261185
320,13,-6.66926557328955,-0.6320116291713,6.03725394411825,-12860.371954045217,2.1450440951975907,1.405522460602599,-1.59967569293435
428,14,-7.768115724378649,0.29856331676860004,8.06667904114725,-24308.645445399325,3.609469136219559,0.3066723095135,-0.66910074699445
21,15,-7.645963816889201,-1.2610300059871,6.384933810902101,-25404.629426743384,2.418551712838962,0.4288242170029486,-2.22869406975015
156,16,-6.25581578883985,-0.8906830554566,5.365132733383249,-34218.7076204932,1.6851839329683571,1.8189722450522998,-1.85834711921965
827,17,-6.6731568013517,0.059456876334249995,6.73261367768595,-31079.14110991918,2.6995538901537657,1.4016312325404492,-0.9082071874288
483,18,-6.97463173632065,0.15050617071155,7.1251379070322,-34720.67741033167,3.434403057821328,1.1001562975714991,-0.8171578930515
1175,19,-7.23188817058335,-0.7058089054269,6.52607926515645,-24607.413501445382,2.397945347278437,0.8428998633087996,-1.67347296918995
682,20,-9.299191515601951,-1.2384989791657,8.060692536436251,-11866.296692200705,3.9573201626135415,-1.2244034817098015,-2.20616304292875
405,21,-7.8427837649558505,1.11972128342245,8.9625050483783,-16103.736730179418,3.9623327718527435,0.23200426893629889,0.1520572196593999
649,22,-7.84849815581635,-1.5391303611981,6.30936779461825,-13398.261804277527,2.252195726674472,0.22628987807579914,-2.50679442496115
193,23,-7.5055802814162496,1.1373270495498,8.64290733096605,-19308.960927782784,3.793578374214121,0.5692077524758998,0.16966298578675
357,24,-6.6893747868415,0.35665962385035005,7.04603441069185,-9915.678103462367,2.9108015866841015,1.385413247050649,-0.6110044399126999
514,25,-7.81589891652645,-0.66240674627215,7.1534921702543,-21288.401038136813,3.014995340607129,0.2588891173656993,-1.6300708100352002
883,26,-8.3170509949923,1.2038316746120001,9.520882669604301,-11642.308568858718,4.182721861083337,-0.24226296110015078,0.2361676108489501
977,27,-7.30486910528745,-0.6342701741304501,6.6705989311569995,-13023.387903239125,2.8333198888940387,0.7699189286046995,-1.6019342378935
1082,28,-7.1149608490234995,-1.7325760975185502,5.382384751504949,-18834.122230360445,1.821654471277725,0.9598271848686499,-2.7002401612816005
828,29,-7.8952473153322495,-0.08691316384969999,7.8083341514825495,-11109.067259126698,3.470648622704175,0.17954071855989984,-1.05457722761275
640,30,-8.591042431060751,-1.6195127926358,6.971529638424951,-25205.336509636076,2.8528734459614498,-0.516254397168602,-2.58717685639885
1017,31,-6.96211449919765,0.09298130271584999,7.0550958019135,-20311.50353127883,2.930786172091757,1.1126735346944994,-0.8746827610472
154,32,-7.308488219499099,0.58776591708,7.896254136579099,-39871.90422357505,3.817296361652552,0.76629981439305,-0.37989814668305
982,33,-6.739688637798951,-0.0687903814064,6.670898256392551,-27013.72431068027,3.3309723111269705,1.3350993960931987,-1.03645444516945
774,34,-6.191678554277,0.8185184623039999,7.0101970165809995,-33559.714627647205,3.14854718575225,1.8831094796151495,-0.1491456014590501
607,35,-7.09811700167755,-2.34200227709835,4.7561147245792,-11460.60737952521,0.6749784061630635,0.9766710322145995,-3.3096663408614
1114,36,-7.05544954991915,0.05774255907610001,7.11319210899525,-23483.911658391666,2.803952545807988,1.0193384839729998,-0.90992150468695
1171,37,-8.0647470328087,-0.29962456078555,7.76512247202315,-14572.6239186831,3.467297812745528,0.010041001083449075,-1.2672886245486001
730,38,-6.58022992140595,-0.13303646150945,6.4471934598965,-38394.07494488996,3.021288245516189,1.4945581124861995,-1.1007005252725
968,39,-8.49460528244355,-1.3536031379272,7.141002144516349,-28809.000288422838,2.904914403523435,-0.4198172485514,-2.32126720169025
330,40,-7.2107993471696,-0.9491603219290501,6.26163902524055,-23360.906238326625,2.313081472839258,0.863988686722549,-1.9168243856921001
907,41,-8.0634953090964,-0.5862420795172,7.477253229579199,-5108.416361574841,1.911438980476305,0.01129272479574972,-1.55390614328025
168,42,-7.0029587881577005,-0.29091691756955,6.71204187058815,-20000.09320750986,3.0992586597858462,1.071829245734449,-1.2585809813326
923,43,-7.919846407417451,-2.07309937003425,5.846747037383201,-24226.334062277958,2.0438074024859816,0.15494162647469878,-3.0407634337973
542,44,-7.338992182140151,0.4006060107061,7.739598192846251,-24400.39896198619,3.398852743815951,0.7357958517519982,-0.56705805305695
1173,45,-6.993979031091199,-1.7271610318936002,5.266817999197599,-26275.141144239624,1.803016577312519,1.08080900280095,-2.6948250956566504
469,46,-6.95727087265875,-1.76599167835995,5.1912791942988,-20937.467682916536,1.7694796336945728,1.1175171612333994,-2.733655742123
1080,47,-6.4240093598339,1.03079447707905,7.454803836912951,-23364.637227521973,3.1247010326915188,1.650778674058249,0.063130413316
377,48,-7.94379242626145,-0.8535123034783,7.090280122783151,-19646.81160608807,2.8028575596727023,0.13099560763069906,-1.8211763672413501
470,49,-8.38276648988805,-1.61202966174705,6.7707368281410005,-7284.312799155143,2.064374583646895,-0.3079784559959009,-2.5796937255101
686,50,-7.5683569467266,-1.7515696442834499,5.81678730244315,-24773.479092331687,1.8291291666355391,0.5064310871655495,-2.7192337080464997
457,51,-7.81720506300885,0.8038515257620501,8.6210565887709,-21321.09767649779,3.72671020505004,0.2575829708832993,-0.16381253800099993
530,52,-6.9644274669269,0.10125356377105,7.0656810306979505,-19242.40854293023,2.744052123896836,1.110360566965249,-0.866410499992
868,53,-7.22927587761855,0.58169777821385,7.8109736558324,-25965.897698709097,3.893285787089553,0.8455121562735997,-0.3859662855492
1090,54,-7.75374811307225,-0.07861369140945,7.6751344216628,-20193.46385727863,3.1451781441719504,0.3210399208198993,-1.0462777551725
493,55,-8.02716811005465,-1.5628042661916,6.464363843863049,-29382.640075102332,2.4270797609096917,0.04761992383749991,-2.53046832995465
70,56,-6.7204501885686,-0.30476751256,6.4156826760086005,-20280.475329331784,2.3128735778591363,1.354337845323549,-1.27243157632305
212,57,-7.568030410105999,-1.0152567762155,6.552773633890499,-31085.10545803202,2.6651875435127295,0.5067576237861502,-1.98292083997855
307,58,-8.38020861969335,-1.9168243856921001,6.46338423400125,-14422.19486367621,2.131123566945462,-0.3054205858012011,-2.88448844945515
174,59,-7.670780600054799,-0.5345948706923,7.1361857293624995,-13971.853873616423,2.8933269794342777,0.40400743383735005,-1.50225893445535
1149,60,-7.25311305092235,0.8770773629315999,8.13019041385395,-35416.834372718244,3.64213939721958,0.8216749829697996,-0.09058670083145015
