,Monomer,Singlet HOMO,Singlet LUMO,Singlet Gap,Triplet Energy,E_TS,Relative HOMO,Relative LUMO
1029,0,-10.189112652277151,0.55459523870405,10.7437078909812,-33360.87437446086,4.13366272708663,-1.2278049048410509,-1.1809196883999
487,1,-7.50906333870265,2.3876357698272,9.89669910852985,-18855.42220280225,3.9006829299978563,1.45224440873345,0.6521208427232501
987,2,-8.5146600732254,0.61859641634165,9.13325648956705,-12895.5211326628,3.3383604742812167,0.4466476742107002,-1.1169185107623
1110,3,-7.168050261256051,-0.213881486493,6.95416877476305,-24491.660023579785,1.7602609606692567,1.7932574861800497,-1.9493964135969502
857,4,-8.3501944619832,0.76172830170465,9.11192276368785,-12503.35049828537,3.2465157911192364,0.6111132854529,-0.9737866253993
1033,5,-8.919511059999301,-2.026159730823,6.893351329176301,-27342.287547835826,1.8778250286377443,0.04179668743679876,-3.7616746579269504
19,6,-7.6169020576558,0.1798128324104,7.7967148900662,-11495.207866414074,2.146544258852373,1.3444056897803005,-1.55570209469355
1083,7,-7.96153424931405,0.7525036421727,8.71403789148675,-27578.731331521525,2.8925212503199873,0.9997734981220505,-0.98301128493125
724,8,-8.5678855423832,0.33140745852395004,8.89929300090715,-23335.866437452,3.1748848132265266,0.39342220505290015,-1.40410746858
957,9,-8.55256553260005,1.8653948679476,10.417960400547651,-19311.694913680643,3.8922112094951444,0.40874221483604956,0.12987994084364995
416,10,-7.6354602222599,2.04991526997165,9.68537549223155,-28910.413710672736,3.313372259392054,1.3258475251761999,0.3144003428676998
936,11,-7.94036379174515,2.3405600736906997,10.280923865435849,-34024.101991565134,3.723828247260826,1.0209439556909503,0.6050451465867497
1211,12,-8.49493181906415,1.2933571314265,9.78828895049065,-24556.24858448797,3.4648207603677292,0.4663759283719511,-0.44215779567745006
320,13,-7.452300389488351,0.10098144992055,7.553281839408901,-12863.36762669015,2.192515444870878,1.5090073579477492,-1.6345334771834001
428,14,-8.6133285554167,1.13468754519995,9.74801610061665,-24310.671074562564,3.6806946644719574,0.3479791920194,-0.600827381904
21,15,-8.4834758259581,-0.43921896609204997,8.044256859866051,-25407.742268346978,2.4727203285983705,0.4778319214779998,-2.174733893196
156,16,-7.05408898066665,-0.23056206552865,6.823526915138,-34221.93070548584,1.7202983205861528,1.90721876676945,-1.9660769926326
827,17,-7.5210635595097,0.75432680497105,8.27539036448075,-31081.45949102695,2.788363143306924,1.4402441879264005,-0.9811881221329001
483,18,-7.814973729434749,0.8525871163866,8.667560845821349,-34724.144532658196,3.536409832719073,1.146334018001351,-0.88292781071735
1175,19,-8.06259733338975,-0.0033470003611500002,8.059250333028599,-24609.287510811973,2.4597938322476693,0.8987104140463504,-1.7388619274651
682,20,-10.1537106403271,-0.45826693562704995,9.69544370470005,-11868.416592595155,4.021379028388765,-1.1924028928909998,-2.193781862731
405,21,-8.71365693209605,1.8871367646025499,10.6007936966986,-16105.188376481907,4.021367327492044,0.24765081534004985,0.1516218374985998
649,22,-8.6564313893359,-0.80934822554215,7.84708316379375,-13401.048606684635,2.3212048876175686,0.3048763581002003,-2.5448631526461
193,23,-8.353024446028401,1.91968158112235,10.27270602715075,-19311.778960125077,3.8543326893886842,0.6082833014076989,0.18416665401839993
357,24,-7.4811716690264,1.11759879538855,8.598770464414951,-9918.504760289881,2.9877532066966523,1.4801360784097,-0.6179161317154
514,25,-8.65226804742325,0.09194727008395,8.7442153175072,-21290.792709763213,3.107235405197571,0.30903970001284975,-1.64356765702
883,26,-9.159896435531,2.0520649693906003,11.211961404921599,-11643.21189157532,4.262592174252859,-0.19858868809489927,0.3165500422866503
977,27,-8.0989245324315,0.08933497711915,8.18825950955065,-13027.004802525666,2.896062539974082,0.8623832150046002,-1.6461799499848
1082,28,-7.892934347603,-1.0639107326849,6.8290236149181,-18839.78273334504,1.8460538317958708,1.0683733998331002,-2.79942565978885
828,29,-8.71447327364755,0.67971318716395,9.3941864608115,-11111.458957039298,3.5604279617400607,0.2468344737885495,-1.0558017399400002
640,30,-9.42186043940735,-0.8630362882458,8.55882415116155,-25207.52580404208,2.920408294066874,-0.46055269197124993,-2.59855121534975
1017,31,-7.771272245044449,0.84015151341875,8.6114237584632,-20314.297663671157,3.0030947134728194,1.190035502391651,-0.8953634136852
154,32,-8.1986270472547,1.3254121430154,9.5240391902701,-39873.65221320789,3.895068677033123,0.7626807001814004,-0.41010278408855005
982,33,-7.5499076276627,0.6866520903517,8.2365597180144,-27018.807800952447,3.433881687680696,1.4114001197734005,-1.04886283675225
774,34,-7.03340832802865,1.5138509844866501,8.547259312515301,-33561.81511081362,3.2635416826306027,1.9278994194074501,-0.22166394261729994
607,35,-7.9155197971944995,-1.60990717371315,6.305612623481349,-11463.387331221229,0.712470524602395,1.0457879502416008,-3.3454221008171
1114,36,-7.8751381017803,0.8131850308342,8.688323132614501,-23488.013457593686,2.877516892604035,1.0861696456557999,-0.92232989626975
1171,37,-8.878476291343901,0.45864789501774994,9.33712418636165,-14575.822301044333,3.553983761532436,0.08283145609219922,-1.2768670320862001
730,38,-7.3894693014079005,0.5459692296431999,7.9354385310511,-38398.677115421386,3.144117716488836,1.5718384460281998,-1.1895456974607501
968,39,-9.3301852831739,-0.6462976063225501,8.68388767685135,-28810.916579166056,2.9668570398862357,-0.36887753573780024,-2.3818125334265003
330,40,-8.0307872242663,-0.24735149010450003,7.7834357341618,-23363.86161488316,2.3760192295449087,0.9305205231698004,-1.98286641720845
