run,gen,filename,gap
1,6,221_98_01010101,0.010958
1,6,221_465_01010101,0.015420
1,6,778_989_01010101,0.016864
1,6,190_863_01010101,0.017717
1,6,461_56_01010101,0.027838
1,6,778_601_01010101,0.043032
1,6,778_827_01010101,0.049415
1,6,461_584_01010101,0.051138
1,6,221_341_01010101,0.076008
1,6,461_738_01010101,0.076030
1,6,461_260_01010101,0.086757
1,6,461_341_01010101,0.095263
1,6,778_56_01010101,0.108757
1,6,778_465_01010101,0.110752
1,6,778_1165_01010101,0.115429
1,6,778_1171_01010101,0.125101
1,6,778_584_01010101,0.135257
1,6,778_215_01010101,0.139992
1,6,778_738_01010101,0.144792
1,6,778_298_01010101,0.154382
1,6,190_738_01010101,0.169669
1,6,461_380_01010101,0.251071
1,6,461_881_01010101,0.255826
1,6,883_260_01010101,0.846567
1,6,336_465_01010101,0.932439
1,6,1018_584_01010101,0.946972
1,6,634_98_01010101,1.055532
1,6,968_260_01010101,1.398085
1,6,1157_465_01010101,1.428344
1,6,892_863_01010101,1.543001
1,7,778_98_01010101,0.004275
1,7,778_772_01010101,0.007363
1,7,221_98_01010101,0.010958
1,7,221_465_01010101,0.015420
1,7,778_989_01010101,0.016864
1,7,190_863_01010101,0.017717
1,7,461_56_01010101,0.027838
1,7,778_601_01010101,0.043032
1,7,778_827_01010101,0.049415
1,7,461_584_01010101,0.051138
1,7,461_465_01010101,0.065506
1,7,221_341_01010101,0.076008
1,7,461_738_01010101,0.076030
1,7,461_260_01010101,0.086757
1,7,778_796_01010101,0.090633
1,7,461_341_01010101,0.095263
1,7,778_56_01010101,0.108757
1,7,778_465_01010101,0.110752
1,7,778_341_01010101,0.122949
1,7,778_753_01010101,0.127373
1,7,778_1055_01010101,0.133562
1,7,461_863_01010101,0.168690
1,7,461_601_01010101,0.181790
1,7,461_58_01010101,0.281577
1,7,221_601_01010101,0.300026
1,7,190_974_01010101,0.658429
1,7,221_863_01010101,0.768696
1,7,88_465_01010101,0.814865
1,7,1020_601_01010101,1.272553
1,7,782_341_01010101,1.289119
1,7,684_863_01010101,1.554112
1,7,123_989_01010101,2.062054
1,8,778_98_01010101,0.004275
1,8,778_772_01010101,0.007363
1,8,221_98_01010101,0.010958
1,8,221_772_01010101,0.013858
1,8,221_465_01010101,0.015420
1,8,778_989_01010101,0.016864
1,8,190_863_01010101,0.017717
1,8,461_56_01010101,0.027838
1,8,778_570_01010101,0.035063
1,8,778_601_01010101,0.043032
1,8,778_827_01010101,0.049415
1,8,461_584_01010101,0.051138
1,8,461_465_01010101,0.065506
1,8,221_341_01010101,0.076008
1,8,461_738_01010101,0.076030
1,8,461_260_01010101,0.086757
1,8,778_796_01010101,0.090633
1,8,461_341_01010101,0.095263
1,8,778_465_01010101,0.110752
1,8,778_688_01010101,0.116835
1,8,778_341_01010101,0.122949
1,8,778_169_01010101,0.146877
1,8,461_601_01010101,0.181790
1,8,461_827_01010101,0.230680
1,8,221_1036_01010101,0.281213
1,8,461_957_01010101,0.344886
1,8,829_98_01010101,0.887110
1,8,1222_341_01010101,0.935990
1,8,491_341_01010101,1.098386
1,8,618_601_01010101,1.250497
1,8,181_341_01010101,1.563185
1,8,843_584_01010101,2.159850
1,9,778_98_01010101,0.004275
1,9,778_772_01010101,0.007363
1,9,221_98_01010101,0.010958
1,9,221_772_01010101,0.013858
1,9,221_465_01010101,0.015420
1,9,221_56_01010101,0.015737
1,9,778_989_01010101,0.016864
1,9,190_863_01010101,0.017717
1,9,461_352_01010101,0.025292
1,9,461_56_01010101,0.027838
1,9,778_570_01010101,0.035063
1,9,778_601_01010101,0.043032
1,9,778_827_01010101,0.049415
1,9,461_584_01010101,0.051138
1,9,461_465_01010101,0.065506
1,9,221_341_01010101,0.076008
1,9,461_738_01010101,0.076030
1,9,461_260_01010101,0.086757
1,9,778_1048_01010101,0.106885
1,9,778_56_01010101,0.108757
1,9,778_341_01010101,0.122949
1,9,461_863_01010101,0.168690
1,9,190_509_01010101,0.307109
1,9,1182_570_01010101,0.326904
1,9,76_772_01010101,0.461669
1,9,262_98_01010101,0.700311
1,9,190_867_01010101,0.728527
1,9,221_863_01010101,0.768696
1,9,410_772_01010101,1.099826
1,9,535_989_01010101,1.215866
1,9,1116_56_01010101,1.285869
1,9,1060_584_01010101,1.918522
1,10,778_98_01010101,0.004275
1,10,778_772_01010101,0.007363
1,10,778_264_01010101,0.010858
1,10,221_98_01010101,0.010958
1,10,221_772_01010101,0.013858
1,10,221_465_01010101,0.015420
1,10,221_56_01010101,0.015737
1,10,778_989_01010101,0.016864
1,10,190_863_01010101,0.017717
1,10,461_352_01010101,0.025292
1,10,461_56_01010101,0.027838
1,10,778_570_01010101,0.035063
1,10,778_601_01010101,0.043032
1,10,778_827_01010101,0.049415
1,10,778_427_01010101,0.049446
1,10,461_584_01010101,0.051138
1,10,461_465_01010101,0.065506
1,10,461_958_01010101,0.075890
1,10,221_341_01010101,0.076008
1,10,461_341_01010101,0.095263
1,10,461_772_01010101,0.095639
1,10,461_497_01010101,0.104134
1,10,778_341_01010101,0.122949
1,10,461_656_01010101,0.177504
1,10,108_98_01010101,0.462229
1,10,88_352_01010101,0.894468
1,10,911_98_01010101,1.161122
1,10,954_465_01010101,1.235843
1,10,567_584_01010101,1.274035
1,10,463_341_01010101,1.382234
1,10,595_570_01010101,2.032381
1,10,211_570_01010101,2.061484
1,11,778_153_01010101,0.001834
1,11,778_98_01010101,0.004275
1,11,778_772_01010101,0.007363
1,11,778_264_01010101,0.010858
1,11,221_98_01010101,0.010958
1,11,221_772_01010101,0.013858
1,11,221_465_01010101,0.015420
1,11,221_56_01010101,0.015737
1,11,778_989_01010101,0.016864
1,11,190_863_01010101,0.017717
1,11,461_352_01010101,0.025292
1,11,461_56_01010101,0.027838
1,11,778_1189_01010101,0.029869
1,11,221_427_01010101,0.032136
1,11,778_570_01010101,0.035063
1,11,778_601_01010101,0.043032
1,11,221_584_01010101,0.047205
1,11,778_827_01010101,0.049415
1,11,778_427_01010101,0.049446
1,11,461_584_01010101,0.051138
1,11,461_772_01010101,0.095639
1,11,190_212_01010101,0.184654
1,11,778_863_01010101,0.187558
1,11,461_570_01010101,0.258188
1,11,190_56_01010101,0.288903
1,11,84_989_01010101,0.667423
1,11,36_352_01010101,0.931037
1,11,984_601_01010101,1.248005
1,11,895_989_01010101,1.428840
1,11,1148_601_01010101,1.649127
1,11,798_827_01010101,1.988860
1,11,68_570_01010101,2.060562
1,12,778_153_01010101,0.001834
1,12,778_98_01010101,0.004275
1,12,221_1012_01010101,0.006246
1,12,778_772_01010101,0.007363
1,12,778_264_01010101,0.010858
1,12,221_98_01010101,0.010958
1,12,221_772_01010101,0.013858
1,12,221_465_01010101,0.015420
1,12,221_56_01010101,0.015737
1,12,778_989_01010101,0.016864
1,12,190_863_01010101,0.017717
1,12,461_352_01010101,0.025292
1,12,221_319_01010101,0.027732
1,12,461_56_01010101,0.027838
1,12,778_1189_01010101,0.029869
1,12,221_427_01010101,0.032136
1,12,778_570_01010101,0.035063
1,12,461_98_01010101,0.042282
1,12,778_601_01010101,0.043032
1,12,778_56_01010101,0.108757
1,12,778_465_01010101,0.110752
1,12,224_570_01010101,0.293365
1,12,778_131_01010101,0.400750
1,12,190_772_01010101,0.497857
1,12,1163_772_01010101,0.676070
1,12,221_1189_01010101,0.758783
1,12,221_863_01010101,0.768696
1,12,190_994_01010101,1.037002
1,12,287_863_01010101,1.350821
1,12,374_56_01010101,1.555359
1,12,12_989_01010101,1.583111
1,12,1118_570_01010101,2.050183
1,13,778_153_01010101,0.001834
1,13,778_98_01010101,0.004275
1,13,221_1012_01010101,0.006246
1,13,778_772_01010101,0.007363
1,13,778_1012_01010101,0.008222
1,13,778_264_01010101,0.010858
1,13,221_98_01010101,0.010958
