run,gen,filename,gap
1,1,1044_642_01010101,0.006431
1,1,436_427_01010101,0.202558
1,1,845_1021_01010101,0.337059
1,1,101_1204_01010101,0.557121
1,1,6_263_01010101,0.570992
1,1,511_1012_01010101,0.601728
1,1,878_427_01010101,0.727631
1,1,704_46_01010101,0.809295
1,1,1142_1112_01010101,0.850285
1,1,637_620_01010101,0.858509
1,1,1155_1140_01010101,0.936486
1,1,116_192_01010101,0.946197
1,1,523_583_01010101,0.979050
1,1,103_147_01010101,1.040758
1,1,719_760_01010101,1.099106
1,1,437_501_01010101,1.102073
1,1,22_111_01010101,1.120265
1,1,652_761_01010101,1.144786
1,1,1189_407_01010101,1.184829
1,1,1052_181_01010101,1.193894
1,1,458_1177_01010101,1.305199
1,1,822_549_01010101,1.313917
1,1,1195_21_01010101,1.410227
1,1,410_727_01010101,1.472607
1,1,38_441_01010101,1.537496
1,1,1083_145_01010101,1.722395
1,1,73_477_01010101,1.898544
1,1,304_571_01010101,1.921685
1,1,186_8_01010101,1.941640
1,1,656_603_01010101,1.976724
1,1,791_746_01010101,2.130147
1,1,753_120_01010101,2.211225
1,2,1044_642_01010101,0.006431
1,2,436_642_01010101,0.007873
1,2,116_642_01010101,0.050747
1,2,436_427_01010101,0.202558
1,2,845_1021_01010101,0.337059
1,2,101_427_01010101,0.427307
1,2,101_1204_01010101,0.557121
1,2,6_263_01010101,0.570992
1,2,511_1012_01010101,0.601728
1,2,637_1140_01010101,0.644522
1,2,878_427_01010101,0.727631
1,2,704_46_01010101,0.809295
1,2,1142_1112_01010101,0.850285
1,2,637_620_01010101,0.858509
1,2,719_1097_01010101,0.890393
1,2,116_147_01010101,0.925841
1,2,437_832_01010101,0.927544
1,2,116_480_01010101,0.931676
1,2,1155_1140_01010101,0.936486
1,2,116_192_01010101,0.946197
1,2,101_147_01010101,0.948293
1,2,523_583_01010101,0.979050
1,2,103_147_01010101,1.040758
1,2,260_46_01010101,1.055486
1,2,719_760_01010101,1.099106
1,2,437_501_01010101,1.102073
1,2,51_583_01010101,1.137544
1,2,1142_46_01010101,1.276015
1,2,6_583_01010101,1.343057
1,2,384_1204_01010101,1.575997
1,2,439_192_01010101,1.680690
1,2,523_147_01010101,2.067094
1,3,101_642_01010101,0.002177
1,3,2_642_01010101,0.005002
1,3,1044_642_01010101,0.006431
1,3,436_642_01010101,0.007873
1,3,116_642_01010101,0.050747
1,3,637_1012_01010101,0.122318
1,3,167_642_01010101,0.156437
1,3,436_427_01010101,0.202558
1,3,845_1021_01010101,0.337059
1,3,101_427_01010101,0.427307
1,3,116_427_01010101,0.501189
1,3,605_1012_01010101,0.535037
1,3,101_1204_01010101,0.557121
1,3,6_263_01010101,0.570992
1,3,511_1012_01010101,0.601728
1,3,637_1140_01010101,0.644522
1,3,704_1015_01010101,0.675280
1,3,527_263_01010101,0.714052
1,3,878_427_01010101,0.727631
1,3,6_1056_01010101,0.768853
1,3,704_46_01010101,0.809295
1,3,450_46_01010101,0.813632
1,3,1142_1112_01010101,0.850285
1,3,637_620_01010101,0.858509
1,3,436_1204_01010101,0.881531
1,3,719_1097_01010101,0.890393
1,3,719_1204_01010101,0.891339
1,3,116_147_01010101,0.925841
1,3,116_765_01010101,0.990028
1,3,511_691_01010101,0.999335
1,3,1142_46_01010101,1.276015
1,3,845_1133_01010101,1.714898
1,4,101_642_01010101,0.002177
1,4,101_35_01010101,0.003709
1,4,2_642_01010101,0.005002
1,4,108_642_01010101,0.006182
1,4,1044_642_01010101,0.006431
1,4,6_642_01010101,0.007053
1,4,436_642_01010101,0.007873
1,4,491_642_01010101,0.008234
1,4,408_642_01010101,0.010579
1,4,738_642_01010101,0.031801
1,4,116_642_01010101,0.050747
1,4,637_1012_01010101,0.122318
1,4,167_642_01010101,0.156437
1,4,1049_642_01010101,0.160913
1,4,436_427_01010101,0.202558
1,4,1077_1012_01010101,0.213422
1,4,609_1012_01010101,0.234486
1,4,845_1021_01010101,0.337059
1,4,511_1101_01010101,0.362461
1,4,101_729_01010101,0.381967
1,4,101_427_01010101,0.427307
1,4,116_427_01010101,0.501189
1,4,605_1012_01010101,0.535037
1,4,101_1204_01010101,0.557121
1,4,6_263_01010101,0.570992
1,4,511_1012_01010101,0.601728
1,4,2_1012_01010101,0.608631
1,4,637_1140_01010101,0.644522
1,4,511_1021_01010101,0.714821
1,4,940_1140_01010101,1.233063
1,4,678_1204_01010101,1.456843
1,4,2_1021_01010101,1.545753
1,5,101_642_01010101,0.002177
1,5,764_35_01010101,0.003526
1,5,101_35_01010101,0.003709
1,5,507_642_01010101,0.004548
1,5,2_642_01010101,0.005002
1,5,108_642_01010101,0.006182
1,5,1044_642_01010101,0.006431
1,5,770_642_01010101,0.006557
1,5,6_642_01010101,0.007053
1,5,637_642_01010101,0.007643
1,5,436_642_01010101,0.007873
1,5,491_642_01010101,0.008234
1,5,408_642_01010101,0.010579
1,5,303_642_01010101,0.013476
1,5,1077_642_01010101,0.013674
1,5,659_642_01010101,0.024281
1,5,738_642_01010101,0.031801
1,5,400_642_01010101,0.042332
1,5,116_642_01010101,0.050747
1,5,637_1012_01010101,0.122318
1,5,167_642_01010101,0.156437
1,5,1049_642_01010101,0.160913
1,5,436_427_01010101,0.202558
1,5,1077_1012_01010101,0.213422
1,5,137_1012_01010101,0.270235
1,5,108_1012_01010101,0.324498
1,5,1077_525_01010101,0.389730
1,5,101_1012_01010101,0.451419
1,5,116_427_01010101,0.501189
1,5,101_412_01010101,1.331089
1,5,1044_1160_01010101,1.365424
1,5,408_604_01010101,1.507735
1,6,682_642_01010101,0.000446
1,6,621_642_01010101,0.000666
1,6,181_35_01010101,0.001560
1,6,101_642_01010101,0.002177
1,6,764_35_01010101,0.003526
1,6,101_35_01010101,0.003709
1,6,623_642_01010101,0.004268
1,6,900_642_01010101,0.004501
1,6,507_642_01010101,0.004548
1,6,764_642_01010101,0.004894
1,6,1174_642_01010101,0.004954
1,6,2_642_01010101,0.005002
1,6,943_642_01010101,0.005478
1,6,108_642_01010101,0.006182
1,6,1044_642_01010101,0.006431
1,6,770_642_01010101,0.006557
1,6,491_35_01010101,0.006759
1,6,6_642_01010101,0.007053
1,6,637_642_01010101,0.007643
1,6,436_642_01010101,0.007873
1,6,491_642_01010101,0.008234
1,6,408_642_01010101,0.010579
1,6,303_642_01010101,0.013476
1,6,1077_642_01010101,0.013674
1,6,659_642_01010101,0.024281
1,6,50_642_01010101,0.027819
1,6,764_966_01010101,0.602668
1,6,1077_876_01010101,0.693358
1,6,491_990_01010101,1.246812
1,6,507_497_01010101,1.337677
1,6,659_669_01010101,1.481900
1,6,2_766_01010101,1.566661
1,7,862_642_01010101,0.000372
1,7,682_642_01010101,0.000446
1,7,621_642_01010101,0.000666
1,7,181_35_01010101,0.001560
1,7,101_642_01010101,0.002177
1,7,902_642_01010101,0.003347
1,7,764_35_01010101,0.003526
1,7,101_35_01010101,0.003709
1,7,623_642_01010101,0.004268
1,7,900_642_01010101,0.004501
1,7,507_642_01010101,0.004548
1,7,764_642_01010101,0.004894
1,7,1174_642_01010101,0.004954
1,7,2_642_01010101,0.005002
1,7,943_642_01010101,0.005478
1,7,258_35_01010101,0.005549
1,7,108_642_01010101,0.006182
1,7,1044_642_01010101,0.006431
1,7,770_642_01010101,0.006557
1,7,238_35_01010101,0.006595
1,7,623_35_01010101,0.009078
1,7,555_642_01010101,0.085633
1,7,101_729_01010101,0.381967
1,7,623_209_01010101,0.514767
1,7,943_946_01010101,0.805239
1,7,101_480_01010101,0.974838
1,7,770_792_01010101,1.220750
1,7,682_810_01010101,1.296892
1,7,682_1022_01010101,1.429104
1,7,181_1075_01010101,1.653849
1,7,1174_644_01010101,1.755081
1,7,1044_457_01010101,1.923251
1,8,862_642_01010101,0.000372
1,8,682_642_01010101,0.000446
1,8,621_642_01010101,0.000666
1,8,181_35_01010101,0.001560
1,8,101_642_01010101,0.002177
1,8,349_35_01010101,0.002297
1,8,900_35_01010101,0.002325
1,8,73_642_01010101,0.003025
1,8,873_35_01010101,0.003265
1,8,902_642_01010101,0.003347
1,8,764_35_01010101,0.003526
1,8,101_35_01010101,0.003709
1,8,623_642_01010101,0.004268
1,8,900_642_01010101,0.004501
1,8,507_642_01010101,0.004548
1,8,828_642_01010101,0.004877
1,8,764_642_01010101,0.004894
1,8,1174_642_01010101,0.004954
1,8,2_642_01010101,0.005002
1,8,943_642_01010101,0.005478
1,8,258_35_01010101,0.005549
1,8,1168_35_01010101,0.008088
1,8,258_642_01010101,0.021187
1,8,301_642_01010101,0.113373
1,8,101_94_01010101,0.757459
1,8,101_505_01010101,0.819685
1,8,101_291_01010101,0.928407
1,8,507_215_01010101,0.938336
1,8,2_1018_01010101,0.969959
1,8,507_460_01010101,1.442927
1,8,2_165_01010101,1.489816
1,8,507_1007_01010101,1.839425
1,9,862_642_01010101,0.000372
1,9,682_642_01010101,0.000446
1,9,621_642_01010101,0.000666
1,9,181_35_01010101,0.001560
1,9,490_35_01010101,0.001566
1,9,101_642_01010101,0.002177
1,9,349_35_01010101,0.002297
1,9,900_35_01010101,0.002325
1,9,73_642_01010101,0.003025
1,9,902_35_01010101,0.003207
1,9,873_35_01010101,0.003265
1,9,902_642_01010101,0.003347
1,9,764_35_01010101,0.003526
1,9,101_35_01010101,0.003709
1,9,623_642_01010101,0.004268
1,9,900_642_01010101,0.004501
1,9,507_642_01010101,0.004548
1,9,266_35_01010101,0.004721
1,9,828_642_01010101,0.004877
1,9,889_642_01010101,0.005550
1,9,940_642_01010101,0.005955
1,9,621_35_01010101,0.006473
1,9,184_35_01010101,0.007575
1,9,1137_642_01010101,0.121050
1,9,391_642_01010101,0.206667
1,9,499_642_01010101,0.258944
1,9,507_663_01010101,0.696367
1,9,73_128_01010101,0.813567
1,9,507_381_01010101,0.893134
1,9,507_122_01010101,1.254795
1,9,862_747_01010101,1.370600
1,9,181_701_01010101,1.504041
1,10,862_642_01010101,0.000372
1,10,682_642_01010101,0.000446
1,10,621_642_01010101,0.000666
1,10,181_35_01010101,0.001560
1,10,490_35_01010101,0.001566
1,10,101_642_01010101,0.002177
1,10,349_35_01010101,0.002297
1,10,900_35_01010101,0.002325
1,10,73_642_01010101,0.003025
1,10,902_35_01010101,0.003207
1,10,873_35_01010101,0.003265
1,10,902_642_01010101,0.003347
1,10,764_35_01010101,0.003526
1,10,101_35_01010101,0.003709
1,10,522_642_01010101,0.003752
1,10,623_642_01010101,0.004268
1,10,900_642_01010101,0.004501
