gen,min_gap,max_gap,avg_gap,spearman
1,0.006431,2.211225,1.159714,n/a
2,0.006431,2.067094,0.859855,0.674854
3,0.002177,1.714898,0.609857,0.521626
4,0.002177,1.545753,0.365888,0.441460
5,0.002177,1.507735,0.226650,0.471180
6,0.000446,1.566661,0.222543,0.404800
7,0.000372,1.923251,0.379100,0.662132
8,0.000372,1.839425,0.293733,0.949349
9,0.000372,1.504041,0.224973,0.950645
10,0.000372,1.442330,0.175382,0.951134
11,0.000372,1.198113,0.146731,0.809412
12,0.000372,1.744246,0.373207,0.856904
13,0.000372,2.362095,0.318409,0.903054
14,0.000372,1.541598,0.225802,0.857842
15,0.000372,1.708291,0.269875,0.907614
16,0.000372,1.552928,0.198816,0.761424
17,0.000372,1.603073,0.216597,0.828776
18,0.000372,1.556196,0.285781,0.999755
19,0.000372,2.081327,0.309671,0.809815
20,0.000372,1.700194,0.350539,0.911388
21,0.000372,1.765910,0.272530,0.857981
22,0.000372,1.778092,0.180084,0.814970
23,0.000372,2.004766,0.190000,0.960657
24,0.000372,1.877223,0.246348,0.814415
25,0.000372,1.598533,0.321722,0.724699
26,0.000372,1.521542,0.137780,0.647467
27,0.000372,1.066078,0.133684,0.951153
28,0.000372,2.000713,0.326852,0.904342
29,0.000372,2.048261,0.235519,0.780293
30,0.000164,1.564966,0.177795,0.858384
31,0.000164,1.216106,0.161697,0.858265
32,0.000164,1.498310,0.375435,0.639483
33,0.000164,2.498944,0.317321,0.813324
34,0.000164,1.405975,0.162345,0.779163
35,0.000011,2.065214,0.180034,0.767055
36,0.000011,2.435171,0.281275,0.858503
37,0.000011,1.817519,0.290114,0.764914
38,0.000011,2.296266,0.297448,0.816556
39,0.000011,1.982078,0.320374,0.906140
40,0.000011,1.725212,0.232479,0.819834
41,0.000011,1.415105,0.221114,0.861166
