run,gen,filename,gap
1,1,751_221_01010101,0.130027
1,1,114_75_01010101,0.142423
1,1,1145_689_01010101,0.369933
1,1,913_625_01010101,0.377617
1,1,1018_744_01010101,0.381732
1,1,427_1089_01010101,0.447896
1,1,873_662_01010101,0.484618
1,1,316_935_01010101,0.866626
1,1,1075_789_01010101,0.924903
1,1,1221_706_01010101,0.929042
1,1,782_955_01010101,0.993757
1,1,1196_1216_01010101,0.996953
1,1,628_410_01010101,1.026385
1,1,429_1053_01010101,1.058920
1,1,1136_1217_01010101,1.119121
1,1,1117_1167_01010101,1.142413
1,1,1116_50_01010101,1.181248
1,1,781_551_01010101,1.262256
1,1,6_208_01010101,1.264116
1,1,124_777_01010101,1.302021
1,1,1151_314_01010101,1.397342
1,1,925_390_01010101,1.519398
1,1,482_237_01010101,1.541526
1,1,390_849_01010101,1.544349
1,1,905_315_01010101,1.698271
1,1,237_24_01010101,1.700600
1,1,37_521_01010101,1.780093
1,1,910_186_01010101,1.796296
1,1,529_965_01010101,1.819475
1,1,1118_151_01010101,1.900627
1,1,523_607_01010101,2.351069
1,1,851_109_01010101,2.461099
1,2,913_187_01010101,0.043864
1,2,751_221_01010101,0.130027
1,2,114_75_01010101,0.142423
1,2,1145_75_01010101,0.260355
1,2,628_744_01010101,0.266869
1,2,1145_689_01010101,0.369933
1,2,913_625_01010101,0.377617
1,2,1018_744_01010101,0.381732
1,2,427_1089_01010101,0.447896
1,2,873_662_01010101,0.484618
1,2,751_744_01010101,0.624964
1,2,966_1089_01010101,0.654336
1,2,782_789_01010101,0.742255
1,2,1221_662_01010101,0.785813
1,2,873_156_01010101,0.797596
1,2,316_935_01010101,0.866626
1,2,1117_662_01010101,0.893069
1,2,1075_789_01010101,0.924903
1,2,1221_706_01010101,0.929042
1,2,316_625_01010101,0.932725
1,2,782_955_01010101,0.993757
1,2,1196_1216_01010101,0.996953
1,2,628_410_01010101,1.026385
1,2,429_1216_01010101,1.058108
1,2,429_1053_01010101,1.058920
