gen,min_gap,max_gap,avg_gap,spearman
1,0.130027,2.461099,1.184755,n/a
2,0.043864,1.874063,0.811130,0.632887
3,0.013851,1.842103,0.571869,0.548022
4,0.013851,1.389164,0.470893,0.633092
5,0.013851,0.892852,0.336714,0.591489
6,0.013851,2.985627,0.473599,0.472357
7,0.013851,1.511366,0.445615,0.508977
8,0.007349,1.229763,0.367714,0.711104
9,0.007026,2.006505,0.340769,0.947472
10,0.004249,1.982602,0.359651,0.946805
11,0.004193,1.201795,0.240392,0.999233
12,0.004193,1.482761,0.207253,0.901970
13,0.002871,1.211091,0.268465,0.853110
14,0.002871,0.829916,0.091873,0.950545
15,0.002871,2.579277,0.281070,0.752582
16,0.002871,2.105116,0.232367,0.843686
17,0.002871,1.404826,0.198455,0.902386
18,0.002871,0.806341,0.163679,0.999392
19,0.002871,1.994261,0.244818,0.799690
20,0.002871,1.569811,0.212516,0.852442
21,0.002871,2.028936,0.213873,0.850473
22,0.002871,2.370944,0.298681,0.901375
23,0.002871,1.258433,0.207119,0.762964
24,0.002871,2.579936,0.245188,0.999934
25,0.002871,1.618226,0.168033,0.855727
26,0.002871,0.992912,0.161458,0.944928
27,0.002871,1.692846,0.165993,0.902472
28,0.002871,1.822523,0.296540,0.813899
29,0.002871,1.199842,0.173392,0.809055
30,0.002871,2.122069,0.203089,0.910885
31,0.002871,2.184992,0.268906,0.854789
32,0.002871,2.247865,0.253405,0.816847
33,0.002871,1.175371,0.219610,0.809471
34,0.002871,1.238911,0.134773,0.913357
35,0.002871,1.150935,0.186394,0.723568
36,0.002871,1.213298,0.193926,0.809683
37,0.002871,1.702364,0.200199,0.853546
38,0.002871,2.202573,0.280639,0.866757
39,0.002871,1.475613,0.208156,0.753870
40,0.002871,1.386070,0.173987,0.766460
41,0.002871,1.802694,0.226133,0.811421
