gen,min_gap,max_gap,avg_gap,spearman
1,0.003860,3.410142,1.110228,n/a
2,0.003860,2.452113,0.759816,0.559938
3,0.001942,2.166663,0.583137,0.557585
4,0.001942,1.393356,0.496150,0.634969
5,0.001942,2.013079,0.427503,0.678099
6,0.000379,1.425895,0.304869,0.601700
7,0.000379,1.677919,0.243801,0.555609
8,0.000379,1.955050,0.318871,0.526649
9,0.000379,1.457303,0.197312,0.908473
10,0.000379,1.762865,0.346279,0.948113
11,0.000379,1.875318,0.363188,0.897277
12,0.000379,1.456404,0.235455,0.997165
13,0.000379,2.234257,0.312770,0.854101
14,0.000379,1.809766,0.233090,0.899855
15,0.000379,2.038023,0.448956,0.949713
16,0.000379,2.696337,0.300269,0.900066
17,0.000379,1.763968,0.290725,0.807211
18,0.000379,2.263107,0.215068,0.951048
19,0.000379,1.883950,0.288975,0.714461
20,0.000169,1.874044,0.345562,0.807951
21,0.000169,1.314127,0.287709,0.849502
22,0.000169,2.161880,0.290416,0.950182
23,0.000169,1.610315,0.317422,0.805863
24,0.000169,1.356582,0.243380,0.855456
25,0.000169,1.034807,0.085389,0.855245
26,0.000169,1.481283,0.209792,0.731678
27,0.000169,1.324360,0.126685,0.943692
28,0.000169,1.985144,0.248214,0.854154
29,0.000169,1.553499,0.239489,0.902082
30,0.000169,1.667005,0.300140,0.914566
31,0.000169,2.846714,0.303306,0.809061
32,0.000169,1.741546,0.356648,0.655331
33,0.000169,1.884538,0.270078,0.683161
34,0.000169,1.107244,0.074864,0.867815
35,0.000169,1.199513,0.195227,0.686459
36,0.000169,1.602036,0.311984,0.847975
37,0.000169,1.778688,0.333410,0.676929
38,0.000169,1.691033,0.341841,0.718526
39,0.000169,1.938218,0.262640,0.635571
40,0.000169,1.218585,0.111974,0.628849
41,0.000169,2.023625,0.351407,0.717706
