run,gen,filename,gap
1,1,293_711_01010101,0.003860
1,1,642_441_01010101,0.006357
1,1,305_68_01010101,0.030948
1,1,132_342_01010101,0.070460
1,1,338_105_01010101,0.295756
1,1,894_686_01010101,0.448729
1,1,366_328_01010101,0.554092
1,1,1189_196_01010101,0.575538
1,1,747_1104_01010101,0.604891
1,1,745_371_01010101,0.620131
1,1,250_299_01010101,0.652982
1,1,1033_1184_01010101,0.788137
1,1,828_931_01010101,0.802743
1,1,898_1216_01010101,0.917691
1,1,755_259_01010101,0.969585
1,1,930_65_01010101,1.058644
1,1,1203_1108_01010101,1.124428
1,1,472_64_01010101,1.159478
1,1,449_443_01010101,1.221694
1,1,786_1125_01010101,1.262363
1,1,233_88_01010101,1.284273
1,1,425_368_01010101,1.326603
1,1,820_63_01010101,1.334293
1,1,1005_572_01010101,1.398261
1,1,752_901_01010101,1.584036
1,1,1220_672_01010101,1.591342
1,1,318_1202_01010101,1.670757
1,1,31_409_01010101,1.950934
1,1,370_434_01010101,2.151763
1,1,459_666_01010101,2.183588
1,1,501_658_01010101,2.472803
1,1,540_521_01010101,3.410142
1,2,293_711_01010101,0.003860
1,2,642_441_01010101,0.006357
1,2,305_68_01010101,0.030948
1,2,132_342_01010101,0.070460
1,2,496_686_01010101,0.126015
1,2,305_1184_01010101,0.278537
1,2,338_105_01010101,0.295756
1,2,894_686_01010101,0.448729
1,2,755_105_01010101,0.522307
1,2,366_328_01010101,0.554092
1,2,1189_196_01010101,0.575538
1,2,747_1104_01010101,0.604891
1,2,898_371_01010101,0.615952
1,2,745_371_01010101,0.620131
1,2,253_342_01010101,0.644628
1,2,1033_828_01010101,0.646507
1,2,250_299_01010101,0.652982
1,2,305_915_01010101,0.692863
1,2,305_259_01010101,0.778249
1,2,1033_1184_01010101,0.788137
1,2,828_931_01010101,0.802743
1,2,894_789_01010101,0.808992
1,2,898_1216_01010101,0.917691
1,2,755_259_01010101,0.969585
1,2,366_1104_01010101,0.972433
1,2,930_65_01010101,1.058644
1,2,338_3_01010101,1.127895
1,2,647_328_01010101,1.202716
1,2,898_80_01010101,1.235044
1,2,1136_1104_01010101,1.889407
1,2,828_1104_01010101,1.919900
1,2,1062_1104_01010101,2.452113
1,3,642_1067_01010101,0.001942
1,3,293_711_01010101,0.003860
1,3,642_441_01010101,0.006357
1,3,305_68_01010101,0.030948
1,3,132_342_01010101,0.070460
1,3,496_686_01010101,0.126015
1,3,496_105_01010101,0.274756
1,3,305_1184_01010101,0.278537
1,3,796_196_01010101,0.289039
1,3,496_371_01010101,0.292228
1,3,338_105_01010101,0.295756
1,3,952_1104_01010101,0.316901
1,3,366_1214_01010101,0.348672
1,3,894_686_01010101,0.448729
1,3,755_105_01010101,0.522307
1,3,366_328_01010101,0.554092
1,3,1189_196_01010101,0.575538
1,3,747_1104_01010101,0.604891
1,3,713_1184_01010101,0.611977
1,3,305_740_01010101,0.613873
1,3,898_371_01010101,0.615952
1,3,745_371_01010101,0.620131
1,3,253_342_01010101,0.644628
1,3,1033_828_01010101,0.646507
1,3,1033_1196_01010101,0.716124
1,3,305_328_01010101,0.778735
1,3,1189_950_01010101,0.845303
1,3,366_658_01010101,1.076560
1,3,253_828_01010101,1.185646
1,3,1033_68_01010101,1.355668
1,3,293_1104_01010101,1.741587
1,3,413_441_01010101,2.166663
1,4,642_1067_01010101,0.001942
1,4,293_711_01010101,0.003860
1,4,642_686_01010101,0.005339
1,4,642_441_01010101,0.006357
1,4,305_68_01010101,0.030948
1,4,132_342_01010101,0.070460
1,4,61_371_01010101,0.109506
1,4,496_686_01010101,0.126015
1,4,496_105_01010101,0.274756
1,4,305_1184_01010101,0.278537
1,4,796_196_01010101,0.289039
1,4,496_371_01010101,0.292228
1,4,338_105_01010101,0.295756
1,4,366_196_01010101,0.305613
1,4,952_1104_01010101,0.316901
1,4,366_1214_01010101,0.348672
1,4,132_328_01010101,0.374299
1,4,894_686_01010101,0.448729
1,4,496_1204_01010101,0.486699
1,4,132_711_01010101,0.521227
1,4,755_105_01010101,0.522307
1,4,366_328_01010101,0.554092
1,4,366_759_01010101,0.558789
1,4,305_196_01010101,0.764552
1,4,796_1104_01010101,0.777020
1,4,104_686_01010101,0.801447
1,4,496_68_01010101,1.055913
1,4,496_441_01010101,1.134787
1,4,496_267_01010101,1.169592
1,4,301_328_01010101,1.239052
1,4,182_1214_01010101,1.319027
1,4,338_8_01010101,1.393356
1,5,642_1067_01010101,0.001942
1,5,642_695_01010101,0.003709
1,5,293_711_01010101,0.003860
1,5,642_686_01010101,0.005339
1,5,642_441_01010101,0.006357
1,5,642_371_01010101,0.013911
1,5,305_68_01010101,0.030948
1,5,796_105_01010101,0.047095
1,5,132_342_01010101,0.070460
