gen,min_gap,max_gap,avg_gap,spearman
1,0.008234,2.213080,1.049104,n/a
2,0.008234,2.281284,0.906953,0.474590
3,0.008234,2.145673,0.707097,0.593796
4,0.008234,1.444525,0.408284,0.551822
5,0.006157,1.867128,0.425694,0.513471
6,0.005373,1.612116,0.260626,0.516636
7,0.005373,1.080289,0.237161,0.542603
8,0.005373,1.292465,0.297375,0.913575
9,0.005373,0.851798,0.217076,0.947875
10,0.002263,1.349842,0.180633,0.999002
11,0.002263,1.430844,0.233802,0.818724
12,0.002263,1.703029,0.272186,0.902128
13,0.002263,2.156336,0.261900,0.939694
14,0.002263,1.224957,0.265048,0.998645
15,0.002263,1.237635,0.192787,0.854141
16,0.002263,1.541592,0.302720,0.901183
17,0.002263,1.810374,0.313843,0.855972
18,0.000451,2.759062,0.349700,0.809868
19,0.000451,1.311782,0.247694,0.954451
20,0.000451,1.942177,0.285398,0.794357
21,0.000451,1.127202,0.151009,0.903021
22,0.000451,1.565701,0.334720,0.808949
23,0.000306,1.312379,0.258016,0.854934
24,0.000306,1.552908,0.295914,0.764795
25,0.000306,1.624298,0.277533,0.800728
26,0.000306,2.240382,0.410073,0.814706
27,0.000306,1.684653,0.204100,0.814527
28,0.000306,1.342492,0.208847,0.819167
29,0.000306,2.113757,0.287597,0.930494
30,0.000306,1.379451,0.227772,0.863136
31,0.000306,1.710028,0.240437,0.735735
32,0.000306,1.455300,0.151356,0.852297
33,0.000306,1.143184,0.154204,0.946045
34,0.000306,1.720246,0.247603,0.825934
35,0.000306,1.452920,0.285529,0.770373
36,0.000306,1.334168,0.181175,0.742437
37,0.000306,1.680967,0.273114,0.730032
38,0.000306,1.969343,0.299714,0.867194
39,0.000306,1.595697,0.208716,0.782877
40,0.000169,1.528916,0.139316,0.812875
41,0.000169,1.752787,0.205543,0.866447
