run,gen,filename,gap
1,1,628_77_01010101,0.008234
1,1,1078_1178_01010101,0.185299
1,1,772_676_01010101,0.332858
1,1,220_1088_01010101,0.435325
1,1,779_730_01010101,0.454552
1,1,1057_992_01010101,0.524937
1,1,762_1107_01010101,0.643666
1,1,1206_564_01010101,0.659860
1,1,491_300_01010101,0.812906
1,1,179_1217_01010101,0.928347
1,1,1218_602_01010101,0.949395
1,1,160_904_01010101,0.954682
1,1,1215_555_01010101,0.967808
1,1,319_1006_01010101,0.981623
1,1,74_137_01010101,1.011364
1,1,787_475_01010101,1.058101
1,1,1054_909_01010101,1.071249
1,1,379_231_01010101,1.087643
1,1,509_596_01010101,1.104978
1,1,632_477_01010101,1.150386
1,1,993_380_01010101,1.155155
1,1,946_134_01010101,1.253625
1,1,781_396_01010101,1.268165
1,1,441_333_01010101,1.281002
1,1,861_228_01010101,1.305386
1,1,1037_1062_01010101,1.331088
1,1,142_925_01010101,1.331418
1,1,621_550_01010101,1.627328
1,1,222_211_01010101,1.645179
1,1,717_670_01010101,1.663912
1,1,1206_290_01010101,2.172788
1,1,668_679_01010101,2.213080
1,2,628_77_01010101,0.008234
1,2,667_77_01010101,0.055161
1,2,1078_1178_01010101,0.185299
1,2,772_676_01010101,0.332858
1,2,220_1088_01010101,0.435325
1,2,779_730_01010101,0.454552
1,2,628_1006_01010101,0.493190
1,2,1057_992_01010101,0.524937
1,2,777_1217_01010101,0.613151
1,2,628_66_01010101,0.621652
1,2,762_1107_01010101,0.643666
1,2,1206_564_01010101,0.659860
1,2,491_300_01010101,0.812906
1,2,1215_676_01010101,0.880328
1,2,762_904_01010101,0.899763
1,2,179_1217_01010101,0.928347
1,2,1218_602_01010101,0.949395
1,2,160_904_01010101,0.954682
1,2,262_1217_01010101,0.962143
1,2,1215_555_01010101,0.967808
1,2,1218_578_01010101,0.973728
1,2,319_1006_01010101,0.981623
1,2,74_137_01010101,1.011364
1,2,787_475_01010101,1.058101
1,2,1215_602_01010101,1.158533
1,2,1206_608_01010101,1.258504
1,2,731_602_01010101,1.407698
1,2,1218_177_01010101,1.441628
1,2,845_475_01010101,1.523823
1,2,74_1032_01010101,1.545400
1,2,179_467_01010101,1.997549
1,2,319_355_01010101,2.281284
1,3,628_77_01010101,0.008234
1,3,667_77_01010101,0.055161
1,3,762_77_01010101,0.077823
1,3,628_1178_01010101,0.171974
1,3,1078_1178_01010101,0.185299
1,3,1206_1212_01010101,0.244883
1,3,1161_1217_01010101,0.311297
1,3,772_676_01010101,0.332858
1,3,1078_300_01010101,0.356447
1,3,220_1088_01010101,0.435325
1,3,779_730_01010101,0.454552
1,3,628_1006_01010101,0.493190
1,3,772_1006_01010101,0.509543
1,3,1057_992_01010101,0.524937
1,3,777_1217_01010101,0.613151
1,3,628_66_01010101,0.621652
1,3,628_252_01010101,0.637242
1,3,762_1107_01010101,0.643666
1,3,1206_564_01010101,0.659860
1,3,667_495_01010101,0.725835
1,3,1057_1217_01010101,0.737056
1,3,491_300_01010101,0.812906
1,3,449_1006_01010101,0.852656
1,3,1215_676_01010101,0.880328
1,3,762_904_01010101,0.899763
1,3,179_1217_01010101,0.928347
1,3,1215_1217_01010101,0.943714
1,3,293_66_01010101,1.201494
1,3,406_1006_01010101,1.424687
1,3,491_1060_01010101,1.643426
1,3,259_1107_01010101,2.094132
1,3,1206_1107_01010101,2.145673
1,4,628_77_01010101,0.008234
1,4,220_77_01010101,0.012769
1,4,112_77_01010101,0.030997
1,4,667_77_01010101,0.055161
1,4,762_77_01010101,0.077823
1,4,419_1212_01010101,0.153174
1,4,777_1178_01010101,0.154797
1,4,1161_10_01010101,0.159185
1,4,628_1178_01010101,0.171974
1,4,772_1141_01010101,0.176578
1,4,1078_1178_01010101,0.185299
1,4,302_1178_01010101,0.205861
1,4,1206_1212_01010101,0.244883
1,4,1161_1217_01010101,0.311297
1,4,628_676_01010101,0.328294
1,4,772_676_01010101,0.332858
1,4,1078_300_01010101,0.356447
1,4,220_1088_01010101,0.435325
