gen,min_gap,max_gap,avg_gap,spearman
1,0.179911,2.142618,1.101689,n/a
2,0.014707,2.158592,0.802537,0.560183
3,0.014707,2.061486,0.599498,0.627230
4,0.005518,1.512109,0.401325,0.496710
5,0.005518,1.240082,0.287337,0.555226
6,0.005518,2.639703,0.391179,0.560017
7,0.004377,1.455707,0.246185,0.423979
8,0.004377,1.879145,0.303221,0.765806
9,0.002030,1.430849,0.262745,0.853837
10,0.002030,1.335664,0.205325,0.755219
11,0.002030,1.253619,0.197264,0.996352
12,0.001271,2.174300,0.249935,0.901884
13,0.001271,1.126761,0.187392,0.999570
14,0.001271,1.130335,0.222195,0.849171
15,0.001271,0.756733,0.167216,0.950261
16,0.001271,1.442644,0.202809,0.900826
17,0.001271,1.597208,0.204059,0.901243
18,0.001271,1.567052,0.190690,0.949065
19,0.001271,1.525395,0.241361,0.948926
20,0.001271,1.624418,0.130695,0.898137
21,0.001271,1.306658,0.251715,0.896868
22,0.001271,1.278218,0.157175,0.902974
23,0.001271,0.918429,0.153694,0.807356
24,0.001271,1.394480,0.159861,0.855053
25,0.001271,1.042799,0.164188,0.762746
26,0.001271,1.656089,0.263408,0.846779
27,0.001271,1.349869,0.317040,0.951537
28,0.001271,0.700580,0.094361,0.948900
29,0.001271,1.202836,0.218104,0.715539
30,0.001271,1.086531,0.189178,0.781753
31,0.001271,1.379643,0.241526,0.724249
32,0.001271,1.416243,0.201030,0.858754
33,0.001271,1.727764,0.176591,0.858952
34,0.001271,1.830300,0.229407,0.852747
35,0.001271,1.554162,0.211455,0.903873
36,0.001271,2.446619,0.259522,0.687702
37,0.001271,1.904383,0.281019,0.814633
38,0.001271,1.538292,0.249753,0.957260
39,0.001271,2.055200,0.206084,0.771206
40,0.001271,1.515194,0.204109,0.908347
41,0.001271,2.328497,0.298725,0.815684
