run,gen,filename,gap
1,1,201_778_01010101,0.179911
1,1,1216_213_01010101,0.183094
1,1,3_663_01010101,0.237041
1,1,587_147_01010101,0.363908
1,1,688_902_01010101,0.483406
1,1,575_87_01010101,0.652452
1,1,762_238_01010101,0.657940
1,1,852_480_01010101,0.681073
1,1,591_652_01010101,0.717308
1,1,1059_60_01010101,0.743069
1,1,153_1073_01010101,0.757894
1,1,22_1017_01010101,0.780135
1,1,1150_762_01010101,0.789986
1,1,635_1216_01010101,0.881264
1,1,36_1204_01010101,1.150254
1,1,1105_650_01010101,1.201420
1,1,821_442_01010101,1.228641
1,1,50_369_01010101,1.235199
1,1,654_1016_01010101,1.242396
1,1,197_476_01010101,1.256941
1,1,600_682_01010101,1.356778
1,1,923_601_01010101,1.380360
1,1,310_687_01010101,1.382088
1,1,1205_970_01010101,1.452590
1,1,78_699_01010101,1.485612
1,1,73_921_01010101,1.629606
1,1,102_724_01010101,1.643745
1,1,994_698_01010101,1.655801
1,1,288_731_01010101,1.809189
1,1,245_269_01010101,1.931098
1,1,131_963_01010101,1.961221
1,1,986_539_01010101,2.142618
1,2,852_213_01010101,0.014707
1,2,153_778_01010101,0.102638
1,2,261_650_01010101,0.136804
1,2,201_778_01010101,0.179911
1,2,1216_213_01010101,0.183094
1,2,3_663_01010101,0.237041
1,2,985_147_01010101,0.320535
1,2,587_147_01010101,0.363908
1,2,688_902_01010101,0.483406
1,2,591_213_01010101,0.627401
1,2,575_87_01010101,0.652452
1,2,762_238_01010101,0.657940
1,2,852_480_01010101,0.681073
1,2,888_663_01010101,0.686376
1,2,591_652_01010101,0.717308
1,2,1059_60_01010101,0.743069
1,2,153_1073_01010101,0.757894
1,2,22_1017_01010101,0.780135
1,2,895_902_01010101,0.783654
1,2,1150_762_01010101,0.789986
1,2,3_650_01010101,0.813655
1,2,635_1216_01010101,0.881264
1,2,22_715_01010101,1.047733
1,2,1105_238_01010101,1.072054
1,2,36_1204_01010101,1.150254
1,2,1105_650_01010101,1.201420
1,2,1180_480_01010101,1.234411
1,2,1216_106_01010101,1.351450
1,2,591_1073_01010101,1.491164
1,2,36_721_01010101,1.509015
1,2,1035_147_01010101,1.870836
1,2,1083_1073_01010101,2.158592
1,3,852_213_01010101,0.014707
1,3,985_652_01010101,0.041727
1,3,985_663_01010101,0.089890
1,3,153_778_01010101,0.102638
1,3,261_650_01010101,0.136804
1,3,1059_663_01010101,0.155481
1,3,201_778_01010101,0.179911
1,3,1216_213_01010101,0.183094
1,3,3_663_01010101,0.237041
1,3,762_241_01010101,0.289211
1,3,852_663_01010101,0.302923
1,3,985_147_01010101,0.320535
1,3,587_147_01010101,0.363908
1,3,587_1105_01010101,0.420962
1,3,1059_147_01010101,0.423225
1,3,688_902_01010101,0.483406
1,3,261_1075_01010101,0.537178
1,3,153_87_01010101,0.619344
1,3,591_213_01010101,0.627401
1,3,575_87_01010101,0.652452
1,3,762_238_01010101,0.657940
1,3,852_480_01010101,0.681073
1,3,888_663_01010101,0.686376
1,3,591_652_01010101,0.717308
1,3,1059_60_01010101,0.743069
1,3,111_663_01010101,0.970069
1,3,37_902_01010101,1.006111
1,3,1216_0_01010101,1.127007
1,3,852_60_01010101,1.261902
1,3,421_650_01010101,1.399352
1,3,25_147_01010101,1.690398
1,3,201_147_01010101,2.061486
1,4,261_778_01010101,0.005518
1,4,852_213_01010101,0.014707
1,4,1059_778_01010101,0.030674
1,4,985_652_01010101,0.041727
1,4,985_663_01010101,0.089890
1,4,153_778_01010101,0.102638
1,4,261_650_01010101,0.136804
1,4,1059_663_01010101,0.155481
1,4,623_663_01010101,0.168445
1,4,201_778_01010101,0.179911
1,4,1059_902_01010101,0.180090
1,4,1216_213_01010101,0.183094
1,4,1059_1050_01010101,0.224659
1,4,918_663_01010101,0.237013
1,4,3_663_01010101,0.237041
1,4,762_241_01010101,0.289211
1,4,852_663_01010101,0.302923
1,4,985_147_01010101,0.320535
1,4,852_912_01010101,0.350478
1,4,587_147_01010101,0.363908
1,4,587_1105_01010101,0.420962
1,4,1059_147_01010101,0.423225
1,4,587_194_01010101,0.444131
1,4,688_902_01010101,0.483406
1,4,587_352_01010101,0.585679
1,4,493_902_01010101,0.682858
1,4,1057_650_01010101,0.699102
1,4,1059_574_01010101,0.743295
1,4,261_1149_01010101,0.782104
1,4,29_652_01010101,1.022856
1,4,201_902_01010101,1.427912
1,4,985_521_01010101,1.512109
1,5,261_778_01010101,0.005518
1,5,975_778_01010101,0.013424
1,5,852_213_01010101,0.014707
1,5,1059_778_01010101,0.030674
