Donor,Acceptor,Singlet Energy,Singlet Spin,Singlet HOMO,Singlet LUMO,Triplet Energy,Triplet Spin,Triplet HOMO,Triplet LUMO,Delta Energy,Singlet HLGap,Triplet HLGap
10,1,-213015.85778371966,1.0,-6.18365119568725,-1.54998770383305,-213014.62902097407,3.0,-5.26619213734145,-1.29893546536175,1.2287627455953043,4.6336634918541995,3.9672566719797002
10,10,-220252.52142870356,1.0,-6.2951906630072,-1.7726584676972,-220251.57646274453,3.0,-5.62347762304795,-1.42802627603895,0.9449659590318333,4.52253219531,4.1954513470090005
10,11,-221567.889930723,1.0,-5.6433963569045495,-1.48489807079345,-221567.2623608082,3.0,-5.2008031790663,-1.0315291844754,0.6275699147954583,4.158498286111099,4.1692739945909
10,12,-262086.38415242248,1.0,-6.6012098992795005,-1.6033764413011502,-262084.97644515973,3.0,-5.89531935969745,-1.520027968893,1.4077072627551388,4.99783345797835,4.37529139080445
10,2,-431060.19115106354,1.0,-6.07360835454505,-1.5980702212164002,-431059.1592956146,3.0,-5.339417974511,-1.33518103024835,1.031855448964052,4.47553813332865,4.00423694426265
10,3,-432803.63164097944,1.0,-6.217883118080151,-1.9240354027303501,-432802.6767401437,3.0,-5.5428502891448,-1.6394315264924002,0.9549008357571438,4.2938477153498,3.9034187626524
10,4,-241759.68386690732,1.0,-5.5771366343078,-2.2831984740053,-241759.927835478,3.0,-5.68388689785895,-1.6475405192373,-0.24396857069223188,3.2939381603025004,4.03634637862165
10,5,-241821.38751067786,1.0,-4.87331415998955,-2.96220416515795,-241824.18977366877,3.0,-5.944544755252901,-1.42650243847615,-2.8022629909100942,1.9111099948316004,4.518042316776751
10,6,-247921.11773155883,1.0,-5.6348247706138,-2.17965915389005,-247921.57172984447,3.0,-5.8867477734067,-1.4347202767612501,-0.45399828563677147,3.4551656167237503,4.45202749664545
10,7,-268114.7289489911,1.0,-5.62347762304795,-2.8552362105264,-268115.904090614,3.0,-6.22038656550475,-1.91957273558215,-1.1751416228944436,2.7682414125215504,4.3008138299226
