Monomer1,Monomer2,GFN2 Gap
642,630,0.000837134098
767,642,0.001884855328
642,1124,0.001357038041
365,642,0.000301097789
563,35,0.001117051817
470,642,0.000558455724
128,642,0.003806661151
1199,35,0.002578471466
194,35,0.001065301983
762,642,0.00064299712
556,642,0.003412699329
642,105,0.000978201621
1088,35,0.002118334841
906,35,0.001915099548
862,642,0.00040610262
614,35,1.372963e-06
546,642,0.001282218978
119,35,0.007204753164
73,35,0.002064983998
820,642,0.007926273875
