run,gen,filename,gap
1,1,566_330_01010101,0.359186
1,1,507_427_01010101,0.531805
1,1,688_58_01010101,0.552045
1,1,1128_986_01010101,0.672799
1,1,305_597_01010101,0.680361
1,1,469_101_01010101,0.684278
1,1,305_929_01010101,0.696002
1,1,85_386_01010101,0.743678
1,1,371_1061_01010101,0.836463
1,1,821_256_01010101,0.859586
1,1,883_579_01010101,0.879269
1,1,1080_616_01010101,0.889714
1,1,689_147_01010101,0.976317
1,1,975_1180_01010101,0.990357
1,1,517_357_01010101,1.015246
1,1,619_124_01010101,1.070106
1,1,731_73_01010101,1.078854
1,1,409_194_01010101,1.246821
1,1,354_127_01010101,1.268268
1,1,908_849_01010101,1.292421
1,1,1164_458_01010101,1.295128
1,1,976_195_01010101,1.310368
1,1,226_551_01010101,1.377970
1,1,825_1187_01010101,1.386768
1,1,783_385_01010101,1.392382
1,1,916_9_01010101,1.549737
1,1,533_844_01010101,1.637658
1,1,740_24_01010101,1.937762
1,1,655_1076_01010101,1.985455
1,1,432_959_01010101,2.132404
1,1,776_186_01010101,2.259460
1,1,885_94_01010101,2.273240
1,2,566_330_01010101,0.359186
1,2,305_101_01010101,0.445481
1,2,1128_58_01010101,0.494827
1,2,1128_386_01010101,0.500251
1,2,507_427_01010101,0.531805
1,2,996_256_01010101,0.541162
1,2,688_58_01010101,0.552045
1,2,1128_986_01010101,0.672799
1,2,305_597_01010101,0.680361
1,2,469_101_01010101,0.684278
1,2,305_929_01010101,0.696002
1,2,660_616_01010101,0.716956
1,2,85_386_01010101,0.743678
1,2,371_1061_01010101,0.836463
1,2,821_256_01010101,0.859586
1,2,883_579_01010101,0.879269
1,2,1080_616_01010101,0.889714
1,2,1155_147_01010101,0.902167
1,2,689_147_01010101,0.976317
1,2,975_1180_01010101,0.990357
1,2,507_101_01010101,1.005438
1,2,517_357_01010101,1.015246
1,2,619_124_01010101,1.070106
1,2,83_124_01010101,1.168567
1,2,278_986_01010101,1.194215
1,2,507_386_01010101,1.212148
1,2,619_1180_01010101,1.259443
1,2,688_986_01010101,1.361174
1,2,883_271_01010101,1.471927
1,2,821_410_01010101,1.530227
1,2,469_829_01010101,1.745109
1,2,507_553_01010101,1.759703
1,3,1128_427_01010101,0.074881
1,3,1212_256_01010101,0.141843
1,3,1128_1106_01010101,0.246539
1,3,566_330_01010101,0.359186
1,3,305_101_01010101,0.445481
1,3,1128_58_01010101,0.494827
1,3,1128_386_01010101,0.500251
1,3,507_427_01010101,0.531805
1,3,996_256_01010101,0.541162
1,3,688_58_01010101,0.552045
1,3,85_58_01010101,0.569041
1,3,305_256_01010101,0.631412
1,3,1128_986_01010101,0.672799
1,3,305_597_01010101,0.680361
1,3,469_101_01010101,0.684278
1,3,305_986_01010101,0.685963
1,3,305_929_01010101,0.696002
1,3,660_616_01010101,0.716956
1,3,85_386_01010101,0.743678
1,3,688_101_01010101,0.748510
1,3,996_174_01010101,0.771317
1,3,883_256_01010101,0.798919
1,3,821_58_01010101,0.810303
1,3,371_1061_01010101,0.836463
1,3,821_256_01010101,0.859586
1,3,883_579_01010101,0.879269
1,3,507_101_01010101,1.005438
1,3,566_216_01010101,1.120065
1,3,1080_986_01010101,1.163636
1,3,206_597_01010101,1.368175
1,3,507_1061_01010101,1.557964
1,3,469_501_01010101,2.369385
1,4,1212_427_01010101,0.028892
1,4,996_330_01010101,0.043863
1,4,1128_330_01010101,0.048626
1,4,1128_427_01010101,0.074881
1,4,1128_126_01010101,0.088353
1,4,1212_256_01010101,0.141843
1,4,1128_1106_01010101,0.246539
1,4,688_427_01010101,0.288277
1,4,566_330_01010101,0.359186
1,4,1128_798_01010101,0.372309
1,4,305_101_01010101,0.445481
1,4,1128_597_01010101,0.466889
1,4,1128_58_01010101,0.494827
1,4,1128_386_01010101,0.500251
1,4,507_427_01010101,0.531805
1,4,996_256_01010101,0.541162
1,4,688_58_01010101,0.552045
1,4,305_427_01010101,0.565917
1,4,85_58_01010101,0.569041
1,4,305_962_01010101,0.585980
1,4,305_256_01010101,0.631412
1,4,469_427_01010101,0.667359
1,4,1128_986_01010101,0.672799
1,4,305_597_01010101,0.680361
1,4,469_101_01010101,0.684278
1,4,305_986_01010101,0.685963
1,4,305_1011_01010101,0.697793
1,4,1128_572_01010101,0.875542
1,4,507_256_01010101,1.138738
1,4,469_74_01010101,1.164045
1,4,469_71_01010101,1.426404
1,4,382_986_01010101,1.863667
1,5,1212_796_01010101,0.017962
1,5,1212_427_01010101,0.028892
1,5,996_330_01010101,0.043863
1,5,1128_330_01010101,0.048626
1,5,1128_427_01010101,0.074881
1,5,1128_126_01010101,0.088353
1,5,1128_438_01010101,0.104277
1,5,1212_256_01010101,0.141843
1,5,1128_256_01010101,0.230159
1,5,1128_1106_01010101,0.246539
1,5,1128_1169_01010101,0.257183
1,5,688_427_01010101,0.288277
1,5,1128_48_01010101,0.334506
1,5,1128_101_01010101,0.352783
1,5,566_330_01010101,0.359186
1,5,981_386_01010101,0.371391
1,5,1128_798_01010101,0.372309
1,5,305_101_01010101,0.445481
1,5,1128_597_01010101,0.466889
1,5,1128_58_01010101,0.494827
1,5,1128_386_01010101,0.500251
1,5,566_256_01010101,0.501645
1,5,507_427_01010101,0.531805
1,5,996_256_01010101,0.541162
1,5,566_613_01010101,0.658519
1,5,566_1210_01010101,0.970192
1,5,1061_386_01010101,1.133923
1,5,507_256_01010101,1.138738
1,5,507_386_01010101,1.212148
1,5,688_492_01010101,1.283932
1,5,507_206_01010101,1.358796
1,5,566_1_01010101,1.556540
1,6,1212_330_01010101,0.011750
1,6,1212_796_01010101,0.017962
1,6,1212_427_01010101,0.028892
1,6,1212_126_01010101,0.031323
1,6,996_330_01010101,0.043863
1,6,1128_330_01010101,0.048626
1,6,1128_427_01010101,0.074881
1,6,1128_126_01010101,0.088353
1,6,1128_438_01010101,0.104277
1,6,1128_908_01010101,0.113879
1,6,1212_1106_01010101,0.125893
1,6,1212_585_01010101,0.133753
1,6,1212_256_01010101,0.141843
1,6,722_256_01010101,0.198106
1,6,1128_256_01010101,0.230159
1,6,1128_1106_01010101,0.246539
1,6,996_427_01010101,0.248800
1,6,1128_1169_01010101,0.257183
1,6,688_427_01010101,0.288277
1,6,1128_88_01010101,0.303417
1,6,1128_48_01010101,0.334506
1,6,1128_101_01010101,0.352783
1,6,566_330_01010101,0.359186
1,6,981_386_01010101,0.371391
1,6,1021_256_01010101,0.455291
1,6,1128_611_01010101,0.533703
1,6,566_438_01010101,0.644093
1,6,52_101_01010101,0.855148
1,6,487_256_01010101,0.866894
1,6,688_1046_01010101,0.873311
1,6,227_438_01010101,1.207832
1,6,638_386_01010101,1.628049
1,7,115_330_01010101,0.007360
1,7,1212_330_01010101,0.011750
1,7,1212_796_01010101,0.017962
1,7,1212_427_01010101,0.028892
1,7,1212_126_01010101,0.031323
1,7,1212_438_01010101,0.032051
1,7,996_330_01010101,0.043863
1,7,1128_330_01010101,0.048626
1,7,1128_427_01010101,0.074881
1,7,1128_126_01010101,0.088353
1,7,187_256_01010101,0.089275
1,7,1128_438_01010101,0.104277
1,7,1128_908_01010101,0.113879
1,7,1212_1106_01010101,0.125893
1,7,1212_585_01010101,0.133753
1,7,1212_256_01010101,0.141843
1,7,1128_1066_01010101,0.189698
1,7,722_256_01010101,0.198106
1,7,1128_585_01010101,0.224647
1,7,1128_730_01010101,0.226517
1,7,1128_256_01010101,0.230159
1,7,1128_1106_01010101,0.246539
1,7,1212_336_01010101,0.284522
1,7,1145_585_01010101,0.319073
1,7,1212_365_01010101,0.344426
1,7,170_126_01010101,0.383582
1,7,1128_162_01010101,0.463740
1,7,1212_866_01010101,0.596944
1,7,1212_290_01010101,0.622288
1,7,1212_398_01010101,0.701200
1,7,106_256_01010101,1.303323
1,7,99_585_01010101,1.962185
1,8,115_330_01010101,0.007360
1,8,1212_330_01010101,0.011750
1,8,1212_796_01010101,0.017962
1,8,1212_427_01010101,0.028892
1,8,1212_471_01010101,0.030228
1,8,1212_126_01010101,0.031323
1,8,1212_438_01010101,0.032051
1,8,996_330_01010101,0.043863
1,8,1128_330_01010101,0.048626
1,8,1128_427_01010101,0.074881
1,8,1128_126_01010101,0.088353
1,8,187_256_01010101,0.089275
1,8,1128_438_01010101,0.104277
1,8,1128_908_01010101,0.113879
1,8,1212_1106_01010101,0.125893
1,8,1212_585_01010101,0.133753
1,8,1212_256_01010101,0.141843
1,8,1128_585_01010101,0.224647
1,8,996_126_01010101,0.256219
1,8,187_1192_01010101,0.264730
1,8,1212_308_01010101,0.303664
1,8,491_330_01010101,0.359556
1,8,1128_440_01010101,0.434917
1,8,1212_827_01010101,0.608169
1,8,1128_942_01010101,0.627081
1,8,187_340_01010101,0.647461
1,8,636_126_01010101,0.648461
1,8,256_585_01010101,0.837020
1,8,69_330_01010101,0.881329
1,8,646_438_01010101,0.990020
1,8,1104_256_01010101,1.142029
1,8,359_256_01010101,1.356691
1,9,115_330_01010101,0.007360
1,9,1212_330_01010101,0.011750
1,9,1212_796_01010101,0.017962
1,9,1212_427_01010101,0.028892
1,9,1212_471_01010101,0.030228
1,9,1212_126_01010101,0.031323
1,9,1212_438_01010101,0.032051
1,9,996_330_01010101,0.043863
1,9,1128_330_01010101,0.048626
1,9,1128_427_01010101,0.074881
1,9,1128_126_01010101,0.088353
