run,gen,filename,gap
1,1,599_642_01010101,0.007896
1,1,170_779_01010101,0.135844
1,1,814_639_01010101,0.251512
1,1,548_581_01010101,0.350767
1,1,796_208_01010101,0.495236
1,1,36_639_01010101,0.663564
1,1,352_676_01010101,0.666067
1,1,149_1219_01010101,0.762209
1,1,515_549_01010101,0.922542
1,1,849_230_01010101,0.941487
1,1,712_562_01010101,0.956405
1,1,329_655_01010101,0.993466
1,1,41_793_01010101,1.014762
1,1,470_117_01010101,1.016460
1,1,567_32_01010101,1.183267
1,1,593_1107_01010101,1.186861
1,1,1022_397_01010101,1.306857
1,1,404_916_01010101,1.311135
1,1,44_874_01010101,1.353937
1,1,394_122_01010101,1.450448
1,1,150_406_01010101,1.450491
1,1,944_1134_01010101,1.554701
1,1,1175_574_01010101,1.619794
1,1,8_431_01010101,1.669045
1,1,769_408_01010101,1.771855
1,1,1171_512_01010101,1.811055
1,1,905_439_01010101,1.877904
1,1,391_550_01010101,1.949006
1,1,994_735_01010101,1.974085
1,1,228_1044_01010101,2.285777
1,1,677_425_01010101,2.395094
1,1,54_879_01010101,2.406593
1,2,599_642_01010101,0.007896
1,2,170_779_01010101,0.135844
1,2,814_639_01010101,0.251512
1,2,329_581_01010101,0.290923
1,2,567_581_01010101,0.325692
1,2,548_581_01010101,0.350767
1,2,352_208_01010101,0.437599
1,2,796_208_01010101,0.495236
1,2,470_710_01010101,0.535782
1,2,36_639_01010101,0.663564
1,2,352_676_01010101,0.666067
1,2,567_1219_01010101,0.737773
1,2,149_1219_01010101,0.762209
1,2,593_655_01010101,0.794444
1,2,515_549_01010101,0.922542
1,2,849_230_01010101,0.941487
1,2,712_562_01010101,0.956405
1,2,593_117_01010101,0.962574
1,2,329_655_01010101,0.993466
1,2,41_793_01010101,1.014762
1,2,470_117_01010101,1.016460
1,2,36_456_01010101,1.035016
1,2,712_32_01010101,1.154390
1,2,567_32_01010101,1.183267
1,2,593_1107_01010101,1.186861
1,2,208_562_01010101,1.236846
1,2,567_8_01010101,1.292719
1,2,515_562_01010101,1.364382
1,2,608_32_01010101,1.376217
1,2,849_921_01010101,1.561361
1,2,524_32_01010101,1.635845
1,2,717_655_01010101,1.677897
1,3,162_642_01010101,0.001397
1,3,599_642_01010101,0.007896
1,3,796_710_01010101,0.080101
1,3,985_639_01010101,0.084633
1,3,170_779_01010101,0.135844
1,3,814_639_01010101,0.251512
1,3,329_581_01010101,0.290923
1,3,567_581_01010101,0.325692
1,3,548_581_01010101,0.350767
1,3,599_581_01010101,0.351892
1,3,548_676_01010101,0.376737
1,3,352_208_01010101,0.437599
1,3,796_208_01010101,0.495236
1,3,470_676_01010101,0.526755
1,3,470_710_01010101,0.535782
1,3,567_639_01010101,0.560633
1,3,36_639_01010101,0.663564
1,3,352_676_01010101,0.666067
1,3,36_581_01010101,0.677508
1,3,548_208_01010101,0.730964
1,3,567_1219_01010101,0.737773
1,3,149_1219_01010101,0.762209
1,3,593_655_01010101,0.794444
1,3,352_642_01010101,0.838666
1,3,548_653_01010101,0.842196
1,3,170_792_01010101,0.847436
1,3,515_901_01010101,0.920435
1,3,515_549_01010101,0.922542
1,3,849_230_01010101,0.941487
1,3,352_24_01010101,0.970147
1,3,352_25_01010101,1.175217
1,3,567_266_01010101,1.192300
1,4,162_642_01010101,0.001397
1,4,475_642_01010101,0.004308
1,4,599_642_01010101,0.007896
1,4,796_710_01010101,0.080101
1,4,985_639_01010101,0.084633
1,4,999_642_01010101,0.125782
1,4,170_779_01010101,0.135844
1,4,352_581_01010101,0.251065
1,4,814_639_01010101,0.251512
1,4,329_581_01010101,0.290923
1,4,567_581_01010101,0.325692
1,4,548_581_01010101,0.350767
1,4,599_581_01010101,0.351892
1,4,599_676_01010101,0.359184
1,4,548_676_01010101,0.376737
1,4,805_581_01010101,0.405768
1,4,405_639_01010101,0.422799
1,4,352_208_01010101,0.437599
1,4,796_208_01010101,0.495236
1,4,645_581_01010101,0.515935
1,4,470_676_01010101,0.526755
