run,gen,filename,gap
1,1,725_683_01010101,0.182331
1,1,1097_893_01010101,0.342618
1,1,449_213_01010101,0.474193
1,1,943_1155_01010101,0.506888
1,1,793_583_01010101,0.530401
1,1,865_2_01010101,0.680056
1,1,686_478_01010101,0.691737
1,1,1085_868_01010101,0.696448
1,1,1099_639_01010101,0.713984
1,1,621_368_01010101,0.728602
1,1,1013_15_01010101,0.748208
1,1,1056_33_01010101,0.756632
1,1,975_140_01010101,0.809978
1,1,188_1057_01010101,0.865505
1,1,885_689_01010101,0.914033
1,1,706_1118_01010101,0.985486
1,1,536_706_01010101,0.997301
1,1,955_598_01010101,0.998321
1,1,747_1198_01010101,1.053982
1,1,820_1188_01010101,1.110587
1,1,501_1065_01010101,1.159325
1,1,225_1160_01010101,1.180344
1,1,245_1050_01010101,1.190382
1,1,1213_423_01010101,1.193208
1,1,734_765_01010101,1.194744
1,1,1100_905_01010101,1.226667
1,1,998_212_01010101,1.230574
1,1,188_360_01010101,1.240630
1,1,780_164_01010101,1.269264
1,1,208_786_01010101,1.312903
1,1,364_1146_01010101,1.503906
1,1,72_624_01010101,3.145003
1,2,725_683_01010101,0.182331
1,2,686_1155_01010101,0.216209
1,2,1097_893_01010101,0.342618
1,2,1056_1057_01010101,0.431782
1,2,449_213_01010101,0.474193
1,2,943_1155_01010101,0.506888
1,2,793_583_01010101,0.530401
1,2,1056_683_01010101,0.662440
1,2,444_1057_01010101,0.663428
1,2,865_2_01010101,0.680056
1,2,686_478_01010101,0.691737
1,2,1085_868_01010101,0.696448
1,2,1099_639_01010101,0.713984
1,2,621_368_01010101,0.728602
1,2,1013_15_01010101,0.748208
1,2,1056_33_01010101,0.756632
1,2,1097_868_01010101,0.770135
1,2,975_140_01010101,0.809978
1,2,188_1057_01010101,0.865505
1,2,943_2_01010101,0.893805
1,2,885_689_01010101,0.914033
1,2,1085_893_01010101,0.918325
1,2,706_1118_01010101,0.985486
1,2,975_195_01010101,1.003267
1,2,746_583_01010101,1.066029
1,2,514_583_01010101,1.075120
1,2,449_1118_01010101,1.124224
1,2,1085_2_01010101,1.185962
1,2,678_15_01010101,1.478175
1,2,879_1118_01010101,1.586620
1,2,276_140_01010101,2.243859
