run,gen,filename,gap
1,1,469_314_01010101,0.050988
1,1,1067_3_01010101,0.165058
1,1,587_1040_01010101,0.382408
1,1,780_912_01010101,0.413795
1,1,873_1078_01010101,0.465921
1,1,1212_1203_01010101,0.597873
1,1,837_924_01010101,0.686652
1,1,459_996_01010101,0.720780
1,1,1060_587_01010101,0.727048
1,1,919_1061_01010101,0.796387
1,1,298_797_01010101,0.823906
1,1,421_1011_01010101,0.906295
1,1,730_288_01010101,0.924432
1,1,882_793_01010101,1.026838
1,1,155_1098_01010101,1.044078
1,1,537_458_01010101,1.075412
1,1,817_1149_01010101,1.160516
1,1,1041_954_01010101,1.163269
1,1,824_829_01010101,1.203288
1,1,968_856_01010101,1.322632
1,1,1140_1154_01010101,1.331986
1,1,543_386_01010101,1.335725
1,1,989_420_01010101,1.381058
1,1,1115_113_01010101,1.414321
1,1,81_621_01010101,1.423474
1,1,1026_870_01010101,1.476606
1,1,142_31_01010101,1.522654
1,1,672_959_01010101,1.577764
1,1,195_885_01010101,1.578574
1,1,323_470_01010101,1.699191
1,1,740_1055_01010101,2.332686
1,1,78_570_01010101,2.546360
1,2,469_314_01010101,0.050988
1,2,1067_3_01010101,0.165058
1,2,587_1040_01010101,0.382408
1,2,918_1078_01010101,0.393269
1,2,780_912_01010101,0.413795
1,2,873_1078_01010101,0.465921
1,2,919_799_01010101,0.520605
1,2,155_213_01010101,0.524604
1,2,1212_1203_01010101,0.597873
1,2,730_794_01010101,0.649994
1,2,837_924_01010101,0.686652
1,2,459_996_01010101,0.720780
1,2,329_1011_01010101,0.723177
1,2,1060_587_01010101,0.727048
1,2,459_815_01010101,0.728991
1,2,919_1061_01010101,0.796387
1,2,298_797_01010101,0.823906
1,2,421_1011_01010101,0.906295
1,2,730_288_01010101,0.924432
1,2,1060_797_01010101,1.024201
1,2,882_793_01010101,1.026838
1,2,155_1098_01010101,1.044078
1,2,537_458_01010101,1.075412
1,2,730_249_01010101,1.080315
1,2,298_1040_01010101,1.106384
1,2,391_912_01010101,1.202060
1,2,837_1203_01010101,1.274958
1,2,837_404_01010101,1.334209
1,2,837_458_01010101,1.397064
1,2,814_314_01010101,1.533125
1,2,1060_870_01010101,1.615826
1,2,486_1098_01010101,1.672392
1,3,469_314_01010101,0.050988
1,3,1067_3_01010101,0.165058
1,3,587_1040_01010101,0.382408
1,3,918_1078_01010101,0.393269
1,3,780_912_01010101,0.413795
1,3,780_687_01010101,0.414113
1,3,730_799_01010101,0.450257
1,3,873_1078_01010101,0.465921
1,3,919_799_01010101,0.520605
1,3,155_213_01010101,0.524604
1,3,1212_1203_01010101,0.597873
1,3,730_794_01010101,0.649994
1,3,433_799_01010101,0.660462
1,3,837_924_01010101,0.686652
1,3,459_996_01010101,0.720780
1,3,329_1011_01010101,0.723177
1,3,1060_587_01010101,0.727048
1,3,459_815_01010101,0.728991
1,3,919_1061_01010101,0.796387
1,3,469_799_01010101,0.876296
1,3,469_1181_01010101,0.956814
1,3,1060_516_01010101,1.028401
1,3,409_1040_01010101,1.062414
1,3,918_1026_01010101,1.067417
